title,content
"28 seniority earned as a Short-Hour, Temporary and Per diem Nurse","credited to Regular status on the basis of eighty-seven (87) hours 
worked after September 1, 2002 equaling one (1) month's service. 
No Nurse shall accumulate more than one (1) month's service in 
any one (1) calendar month. Seniority credit for hours worked prior 
to September 1, 2002 shall be credited on the basis of one (1) 
month equaling one hundred forty five (145) hours. 
803 Implementation of the new seniority system shall occur on June 1, 1978, 
retroactive to January 1, 1978, subject to the following provisions: 
All Regular Nurses on the payroll as of January 1, 1978, shall receive 
prior seniority credit as a Regular Nurse back to the date of hire. 
All Short-Hour, Temporary and Per diem Nurses on the payroll 
as of January 1, 1978, shall receive prior seniority credit as a Short-
Hour, Temporary and Per diem Nurse at the rate of eighty (80) 
hours seniority credit for every calendar month back to the date of 
hire. 
804 Effective September 1, 2002, such hours of seniority credit shall then be 
added to the number of hours of seniority credit accumulated after January 
1, 1978 pursuant to paragraph 802. The total number of hours shall then be 
divided by one hundred forty five (145) for all hours worked before 
September 1, 2002 in order to determine Registered Nurses' total months 
of seniority credit for all hours worked before September 1, 2002. For 
hours worked after September 1, 2002, the total number of hours to 
determine seniority credit shall be divided by eighty seven (87) to 
determine the total months of seniority credit accumulated after 
September 1, 2002. 
805 Bargaining unit seniority as defined above shall apply within the department, 
facility and bargaining unit respectively for all Nurses as follows: 
Department 
806 A department is defined as a unit such as Pediatrics, OB, ICU, ER, 
Dermatology, OR, etc. Each entity shall establish the department 
applicable to its particular operations. A clinic which has been identified by 
the Employer as a Functional Unit shall be considered a single department. 
Facility 
807 A facility is defined as a medical center and its associated Medical Office 
Buildings and satellite clinics, such as Oakland, Richmond, Hayward, etc., 
or a Call Center."
29 Bargaining Unit,808 The bargaining unit is defined as all Nurses covered by this Agreement.
B – Availability For Extra Shifts,"809 Registered Nurses who wish to work additional shifts beyond their regular 
schedules may express their availability in accordance with each facility’s 
Availability Policy. Availability for the purposes of this document means 
that any Nurse expressing availability for any shifts agrees to work if 
scheduled. Such availability for a scheduled shift shall remain in place 
unless modified or withdrawn by the Nurse pursuant to facility policy prior 
to seventy-two (72) hours before the commencement of the shift. 
810 Nurses who have made themselves available shall be selected to work extra 
shifts based upon scheduling needs and seniority in accordance with 
the following priority: 
First to employees available on a straight time basis in the following order: 
Employees in the same department and shift; 
Employees in the same department, other shifts;  
Float Department employees, same shift; 
Float Department employees, other shifts;  
Other employees from the facility; 
Employees from another Kaiser facility. 
Second to employees available to work on an overtime basis by seniority 
in the same order as above, but in the following sequence according to the 
least amount of overtime pay: 
Employees available to work at time and one-half (including daily or 
weekly overtime, 6th consecutive day in a payroll week, eighth 
(or more) consecutive day). 
Employees available to work at double time (including double shifts, 
hours in excess of 12, seventh day in a work week). 
Prior to offering third weekend penalty pay, the facility may offer extra 
shifts to Nurses who have not indicated formal availability. Registry 
and travelers may be offered extra shifts only after the above 
process has been followed and has not been successful in assigning 
the extra work. 
Finally to employees available to work for third weekend penalty pay, by 
seniority in the same order as above."
,"810, the Employer may give first priority to employees who will not work 
overtime, as defined in"
"708 and 709 of the CBA, at any time during","the workweek that includes the extra shift.  Employees who would work 
overtime at any time during the workweek that includes the extra shift may 
be given second priority.  The rules set forth in"
810 will determine,"the priority order as between employees within either of these groups. 
(Appendix P -  Extra Shifts 2014-2017 Collective Bargaining Agreement).     
812 Nurses who have made themselves available shall be able to exercise 
their seniority up to 72 hours prior to the beginning of the shift. As of 
seventy-two (72) hours prior to the shift, Nurses selected in accordance with 
the above priority shall be confirmed to work. Previously scheduled but 
less senior Nurses who are displaced under this provision shall be so 
notified by the Employer immediately upon displacement. Nurses 
confirmed to work at seventy-two (72) hours shall be expected to report to 
work as scheduled. 
813 A Nurse who removes his or her availability at time of confirmation shall be 
relisted for availability purposes in the least senior position, unless such 
Nurse resubmits availability for the desired shift to the staffing office in 
accordance with facility policy. 
814 Nurses who are not confirmed at seventy-two (72) hours shall remain 
on the availability list until the shift commences, but such Nurses shall 
not have any displacement rights over junior Nurses that have been 
previously confirmed. Selection of any employees to work after the 
seventy-two (72) hour period shall continue to be as provided for in 
paragraph 810, above."
C – Breaking A Seniority Tie,"815 If two (2) Nurses have the same seniority date, the following method 
shall be implemented for breaking any seniority ties: 
First, by using the last four (4) digits of the Registered Nurse’s California 
Registered Nurse License number, with the lower number being 
considered the more senior Nurse; and, if this is not resolved, 
Second, by using the full California Registered Nurse license number, 
with the lower license number being considered the more senior Nurse."
D – Layoff and Recall,"816 A layoff, as referred to above in"
"A – Seniority, Accumulation and","Application, is defined as an involuntary change to unpaid status of more 
than fourteen (14) consecutive days. A cancellation involves any reduction"
31 of a day or less of work. A short term reduction in force involves any,"reduction of more than one but less than 14 days. 
Reduction in Force of Less than Fourteen (14) Days 
817 For short term reductions in force, scheduled hours will be reduced or 
canceled in the following order in the affected department: 
Registry personnel. 
Volunteers to reduce or cancel hours. 
Nurses with the least bargaining unit seniority (inverse seniority) 
in the following group: Per diem and Temporary, Regular and Short-
Hour working beyond regular schedule (extra hours or days) in that 
payroll week. 
Nurses with the least bargaining unit seniority (inverse seniority) 
in the following group: Regular and Short-Hour working regular 
scheduled hours. 
818 Nurses who are involuntarily reduced shall be offered work within her/his 
facility that is being performed by Registered Nurse registry personnel 
provided such Nurse is qualified to perform the work. 
819 Nurses who volunteer or are involuntarily reduced shall have the option (if 
applicable) to take earned vacation, a holiday, compensatory time, or unpaid 
leave of absence. 
Layoffs 
820  In the event of a layoff, on the request of the Association or the Employer, 
the Parties shall investigate the feasibility of a work-share arrangement 
among Nurses, and may, by mutual agreement, institute such a work-share 
arrangement. If no agreement is reached on a work-share arrangement, 
Nurses who are laid off shall have seniority among themselves and shall 
be given first preference for position vacancies in the Northern California 
Region provided that the Nurse is qualified to fill the vacancy. [See 
paragraph 4027 for effects of disciplinary actions on transfer requests.] 
821 In the event the Employer implements a layoff of sixty (60) days or 
more, the Employer will notify and meet with the Association at their 
request prior to layoff to discuss the layoff and retention procedures 
specific to that situation.  In any such layoff, the Employer will retain 
Patient Care Coordinator Case Managers based on their department 
seniority within the facility.  Work will be reassigned by the Employer 
provided the Patient Care Coordinator Case Manager is qualified to"
"32 perform such work.  In the event of a layoff, The Employer is under no","obligation to reassign,  orient, train, or  cross-train a Staff  Nurse  I-IV, 
Home Health Nurse I-II, or Nurse Practitioner I-III to work as a Patient 
Care Coordinator Case Manager.
822 Laid off Nurses shall retain seniority and preference rights for: Twelve (12) 
months; or 
Until the Nurse has been placed in a permanent position of like 
status, classification and pay held prior to layoffs, or has opted to 
accept a position in a different status, classification, and/or pay; or 
Until the Nurse has refused recall to a position of like status, 
classification and pay held prior to layoff within the facility, whichever 
occurs first. 
While on layoff, the Nurse may elect per diem status without 
affecting her/his preference rights under this provision. 
Preference Rights 
823 Whenever a Nurse is laid off, prior to the actual last day of work of such 
Nurse, the Employer will request that the Nurse submit a transfer request 
form for each facility (hospital or medical office) at which the Nurse would 
like to be considered for potential vacancies, should they become 
available after the Nurse is laid off. Laid off nurses shall be assisted in 
accessing Kaiser Permanente’s available internally posted 
position(s), upon request, for a period of twelve (12) months after the 
layoff date. 
824 Nurses shall be recalled in the inverse order of layoff."
E – Extended Layoffs,"825 In the event the Employer implements a layoff of sixty (60) days or 
more, the Employer will notify and meet with the Association to discuss 
layoff and retention procedures specific to that situation. In any such layoff 
the Employer will retain Nurses based on their bargaining unit seniority 
within their assigned entity (hospital or clinic) and reassign the work 
provided the Nurse is qualified to perform such work. 
826 It is agreed that the reassignment selection process in the affected units 
will be based on seniority and the ability to be oriented, cross-trained, or 
trained within a reasonable period (see below) to perform available work 
as referenced above."
"33 827 It is agreed that the definitions for orientation, cross-training, and training","are as follows: 
Orientation consists of up to five (5) days, depending on the 
competency of the individual, and the needs of the patient and 
unit. This generally represents moving between similar units. 
Cross-training consists of up to eighty (80) hours and generally 
represents cross-training to a more specialized (similar) unit, or for 
Nurses with previous experience in a more specialized area. 
Training consists of more than eighty (80) hours and no more than 
three months. The Parties agree that Nurses who require training 
shall only be reassigned to such units contingent on an expectation 
of success in such training within three (3) months or less. Nurses 
who require more than three (3) months training at the time of 
reassignment shall not be reassigned to such departments or units. 
Departments or units that meet these criteria include, but are not 
limited to, Critical Care, Labor and Delivery, Emergency, Oncology, 
GI Procedures, Surgical Services and Mental Health. The Parties 
shall determine if additional departments or units at a hospital or 
outpatient clinic where a layoff is to occur meet these criteria and 
should be subject to the same restrictions. The Employer may, but is 
not required to, provide additional training in order to enable a Nurse 
to be eligible for an assignment that requires training under this 
paragraph. 
828 The Parties agree that the Employer will provide an evaluation forty-five (45) 
days after completion of orientation, cross training, and/or training to 
assess the employee's competence. 
The Employer agrees to provide regular performance feedback to the Nurse 
during the training period. 
If during the training period management determines that a Nurse is not 
successfully progressing through the training period, and concludes that 
additional training will not be successful, or at the conclusion of the 
training period the Employer determines that a Nurse failed to meet 
the objectives of the training/orientation program required for the new 
position, the Nurse will be assessed for competence to perform the job. The 
Employer has the right to lay off such Nurse without regard to bargaining 
unit seniority, provided there are no open positions for which the RN is 
qualified. The Employer will meet with the Union to identify all reasonable 
alternative placement options and make a good faith effort to agree on 
such placement prior to laying off the Nurse. Nothing herein shall 
preclude the Association from filing a grievance on behalf of the affected 
Nurse."
34 829 Recall of an employee who is laid off shall be in accordance with Article,"VIII, paragraphs 820-824."
F – Non-Registered Nurse Experience,"830 Newly classified Registered Nurses who have had previous experience 
with the Employer in a Kaiser Permanente facility covered by this 
Collective Bargaining Agreement in a nursing classification shall be given 
prorated seniority credit on the basis of one (1) year's seniority for every 
three (3) years of continuous service with the Employer in such a nursing 
classification. The nursing classifications that are eligible for credit are: 
LVN, CNA, Nursing Assistant (or Care Partner), certified personnel such 
as Respiratory Techs and X-Ray Techs, and other classifications or 
individuals whose experience is relevant and mutually agreed upon by the 
Parties. 
900 ARTICLE IX – POSITION POSTING AND FILLING OF VACANCIES"
A – Posting,"901 Registered Nurse positions under this Agreement which are permanently 
vacated or newly created in a given entity shall be posted on the bulletin 
board for one (1) day within the department in which they occur. Nurses 
within the department shall be given preference in filling such position on 
a seniority basis. If the position is not filled from within the department in 
accordance with the foregoing, the vacancy shall be posted on bulletin 
boards for five (5) days in the facility where it occurs, and shall be 
simultaneously posted on Kaiser Permanente’s internet job site. The 
Employer’s obligation to post on bulletin boards for 5 days in the 
facility expires at the of the 2017-2022 contract.  
902 Written requests for a change in shift or scheduled hours within the same 
classification and department shall be considered an automatic/ open  bid for 
shift change or scheduled hours for ninety (90) days following submission 
of such request to her or his manager. Automatic/ open  bids under this 
provision shall only be applicable to one (1) day department postings 
within the RN/NP’s department, and shall be subject to the limits on 
applications set forth in paragraph 913. 
903 Applicants who successfully bid on a posted position shall be transferred 
to the new position as soon as reasonably possible subject to operational 
requirements. Under no circumstances shall the transfer be delayed more 
than one (1) month from the time the position is awarded unless by mutual 
agreement between the Parties. 
904 For the purposes of this"
"only, a Short-Hour, Temporary and Per",diem Nurse shall fulfill the requirement of six (6) months in a department
35 upon completion of five hundred twenty (520) hours of work in that,"department. 
905 All Short-Hour, Temporary, Per diem Nurses, or Nurses assigned to a float 
pool department position who begin work in a given department shall 
become eligible for bidding on vacancies within that Department after 
completion of five hundred twenty (520) hours therein. The Nurses 
referenced above who fulfill the five hundred twenty (520) hour 
requirement within one department shall retain seniority rights in that 
department as well as the float department. Nurses shall forfeit those 
seniority rights in any such department where no work is performed 
within a calendar year. The intention of this"
is solely to establish,"twenty-four (24) hour bidding rights for all Nurses whose exclusive 
assignment is to float. 
906 If the Employer determines that specialty training positions (including 
but not limited to OR, ED, L&D, ICU, WOC, etc.) are required due to 
vacancies and/or lack of fully-qualified RNs, such positions will be posted 
as Staff Nurse positions in accordance with paragraph 901 and filled in 
accordance with paragraphs 908 and 909. Such postings will include the 
permanent shift assignment and schedule for the position, and the actual 
training schedule which may be different. RNs who already meet the 
standard minimum requirements for the positions shall not have to 
complete the training course. Successful applicants for the training 
positions shall be transferred in time for commencement of the training 
program."
B – Special Notification to Absent Nurses,"907 For Nurses on vacation or leave of absence who have requested such in 
writing, notices of vacancies shall be sent to an address indicated by the 
Nurse. A Nurse who is on leave of absence in excess of thirty (30) days and 
is granted the position must be available to return to work within at least 
fourteen (14) days from the date of the posting of the position if required by 
the facility."
C – Preference in Filling Vacancies,"908 Nurses employed by the Employer may apply for such permanent 
vacancy or newly created position and shall be given preference in filling 
such vacancy on a seniority basis provided the Nurse is qualified to fill the 
vacant position. A Nurse may determine the status of her/his transfer 
request or outcome of a posted position by logging onto the Kaiser 
Permanente internet job site or contacting the local Human Resources 
Staffing/Recruitment Office. [See paragraph 4027 for effects of disciplinary 
actions on transfer requests.]"
36 909 The order for awarding bids is first to the one day departmental posting and,"second to the facility wide (KFH and TPMG) five (5) day posting. 
Vacancies remaining unfilled following the five (5) day facility posting shall 
be filled from among qualified internal applicants, if any, on a seniority basis 
regionally before outside applicants are considered. It is understood that 
for the purposes of expediency the five (5) day facility posting and the 
regional five day posting shall be administered simultaneously. 
910 For purposes of the five (5) day facility bids, the following groupings shall 
apply. 
For the Multi-site and Multi-Medical Center premiums, in accordance with 
paragraph 2345, compensation for the Multi-site agreement is a 2% 
differential paid when working in multiple lettered locations. 
Compensation for the Multi- Medical Center agreement is a 5% 
differential paid when working in multiple numbered locations. 
MED CENTERS AND 
MOBS                                      
ASATELLITES 
B 
1 Antioch Antioch Main 
Deer Valley  Sand Creek 
HillcrestDelta Fair 
2 Fremont Fremont Main
3 Fresno Fresno Main 
First StreetOakhurst 
Selma Clovis
4 Manteca Manteca Main Tracy
5 Modesto Modesto Main 
Bangs Ave 
Dale RdStockton 
6 Oakland Oakland Main 
1950 FranklinAlameda 
7 Redwood City Redwood City Main San Mateo
8 Richmond Richmond Main Pinole
9 Roseville Roseville Main 
Sierra Gardens  Riverside 
Professional Drive  Lava 
Ridge 
East Roseville Pkwy 
Gibson DrFolsom 
Lincoln 
10 Sacramento Sacramento Main 
Fair Oaks 
Point West 
G Street 
Howe 
WattRancho Cordova  Davis 
Downtown Commons 
(2018)"
37 MED CENTERS AND,"MOBS                                      
ASATELLITES 
B 
11 San Francisco San Francisco Main 
French Campus 
Future Leased Space 
(within 3 miles)Mission Bay 
12 San Leandro San Leandro Main Union City 
Union City Landing 
Hayward – Sleepy 
Hollow
13 San Rafael San Rafael Main 
100 & 111 Smith Ranch 
Rd. 
Downtown 3rd Street 
Mill Valley 
Las GallinasNovato  
Petaluma 
14 Santa Clara Santa Clara Main 
(Homestead) 
Arques Bldg Campbell   Milpitas 
Mountain View 
Skyport (2018)
15 Santa Rosa Santa Rosa Main 
Round Barn 
MOB 4 & MOB 5Rohnert Park 
Mercury Way 1 (2018) 
Mercury Way 2
16 San Jose San Jose Main 
Cottle Road 
Via Del Oro Gilroy 
Scotts Valley 
Santa Cruz 
Watsonville
17 So San 
Francisco So San Francisco Main 
Bay Hill 
1200 El Camino 
San BrunoDaly City 
Pacific Plaza 
Oyster Point 
18 So Sacramento So Sacramento Main 
Wyndham Drive 
South Valley CenterElk Grove  Big Horn 
Elk Grove   Promenade 
19 Vacaville Vacaville Main Fairfield
20 Vallejo Vallejo Main 
Park PlaceNapa 
21 Walnut Creek Walnut Creek Main 
Stanwell 
710 Broadway 
Lilac Martinez 
Livermore 
Park Shadelands 
Pleasanton  
San Ramon
* Any MOB with a service line connecting the Medical Center department 
and the MOB department as a single department shall have one (1) day 
bidding rights."
D – Other Sources,"911 If during the five (5) days posting period there is no application for the 
permanent vacancy or newly created position by any Registered Nurses 
employed by the Employer, the facility may fill the position from any 
source."
E – Temporary Filling of Vacancies,"912 The above does not prevent the Employer from filling the vacancy on a 
temporary basis for a temporary period up to a maximum of ninety (90) 
days unless such temporary period is extended by mutual consent. The 
Association agrees that it will not unreasonably withhold consent to 
extending the temporary period."
F – Limits on Applications/Six Month Bar,"913 A Registered Nurse employed by the Employer who applies for and is 
awarded a posted position may not apply for another vacancy, except for 
a change in shift or scheduled hours within the same classification and 
department, before six (6) months unless there is mutual agreement 
among the Employer, the Nurse, and the Association. If no other Nurses 
apply for such later vacancy within its five (5) day posting period and the 
Employer would otherwise have to go outside to hire, the six (6) month 
bar provided for in this"
shall be waived. Nurses who would have,"otherwise been prohibited from bidding upon the vacant position due to 
the six (6) month bar, and who are otherwise qualified in accordance 
with"
"C – Preference in Filling Vacancies above, will then be","considered for the position, provided they submitted a bid for the position 
during the five (5) day posting period."
G – Registered Nurse Interviews,"914 When employees of Kaiser Permanente obtain their Registered Nurse 
license, apply for and meet the posted requirements of a Registered 
Nurse position covered by this Agreement, they will be interviewed. 
915 Registered Nurses currently employed at Kaiser Permanente, upon 
obtaining their masters degree in nursing and NP certification, will be 
eligible for an informational interview with the Nurse Executive and/or 
DONP to explore career opportunities. The Employer will advocate for and 
make its best effort to assist the NP to identify job opportunities that take"
"39 into consideration the NP’s past nursing experience, educational","preparation and clinical rotations. 
916 This procedure shall not constitute a commitment to hire the employee 
and the employee shall not have recourse through the grievance procedure 
of this contract should they be declined for employment as a Registered 
Nurse/Nurse Practitioner. 
917 Once a month each facility will notify the Association of any vacancies in 
Nurses' positions subject to this Agreement which have not been filled 
through the posting provisions of Article IX – Position Posting and Filling of 
Vacancies, and which have remained vacant thereafter. 
1000 ARTICLE X – REGISTERED NURSE VACANCIES AND REPLACEMENTS"
A – Overutilization,"1001 If a Nurse works a consistent amount of additional hours/shifts each week 
for a period in excess of one hundred twenty (120) days, not including time 
specifically identified for vacation and/or education leave replacement, and 
it is reasonable to expect the work to continue, the Association shall have 
the right to require the Employer to post and fill the position, with 
adequate notice, in accordance with Article IX."
B – Vacancies Not Filled,"1002 If a Registered Nurse position under this Agreement becomes permanently 
vacant and is not filled, the Association may request discussion of the 
vacancy with the facility. If the Parties cannot agree, the issue shall be 
submitted to the grievance procedure. If the issue goes to an arbitrator, 
s(he) shall not have jurisdiction to order the vacancy filled if the vacancy 
has been caused by a curtailment at the facility which affects nursing 
service. Nor shall s(he) have jurisdiction to order the vacancy filled unless 
other causes advanced by the facility prove to be unjustifiable."
C – Vacancies Filled by Non-Registered Nurse,"1003 If a Registered Nurse under this Agreement is permanently replaced by 
other personnel, the grievance procedure shall be applicable only if the 
resulting total nursing duties and responsibilities assigned by the facility to 
the remaining Registered Nurses are unreasonable. Please refer to 
Appendix C, Jurisdiction, for related materials."
D – Coverage of the Contract,"1004 Nothing contained herein shall supersede the definition of the collective 
bargaining unit contained in Article II – Coverage of Contract."
40 1100 ARTICLE XI – NEW TECHNOLOGY,"1101 The Parties understand that the Employer may introduce new 
technologies to improve the quality and efficiency of care provided to its 
patients and that the overriding principle governing the introduction of 
such technologies shall be the provision of the highest levels of patient 
care in terms of the patients’ health and safety. The Parties agree that 
such technologies shall not be used to replace Registered Nurses in the 
delivery of patient care, nor to interfere with the exercise of Registered 
Nurses’ clinical judgment, nor to undermine their ability to perform their 
professional responsibilities, nor to inhibit their ability to provide safe 
therapeutic and effective care, nor to require them to practice in any 
manner that places their professional nursing license in jeopardy. The 
Employer agrees to notify the Association prior to implementing new 
information technologies that affect the practice of Registered Nurses, and 
at the Association's request will work with the Association to establish a 
joint committee to develop operational standards to ensure that the 
technology is implemented in a manner that is consistent with these 
principles. 
1200 ARTICLE XII – STAFFING RATIOS 
1201 The Employer and the Association shall work together in good faith to 
implement appropriate staffing levels for all patient care units covered 
by Department of Health Services (DHS) staffing ratio regulations. The 
Employer shall meet the DHS regulations regarding minimum staffing 
ratios in every applicable unit. The Employer shall make reasonable, good 
faith efforts to exceed the DHS ratios. In addition to providing direct patient 
care, a Registered Nurse shall be accountable for coordinating care for 
each patient, each shift, providing an effective transition of care between 
shifts and care settings, and for clinically directing the work of LVNs and 
unlicensed nursing staff. 
1202 All patients in Inpatient Units and Emergency Departments shall be 
assigned to a Registered Nurse as intended in DHS staffing ratio 
regulations and in accordance with her/his professional judgment, 
assigning patient care tasks and responsibilities to LVNs and other patient 
care staff as appropriate. 
1300 ARTICLE XIII – STAFFING/GRASP  See Side-Letter T for additional 
details.   
The Employer shall maintain the GRASP committee and meeting 
structure contained in Article XIII (STAFFING/GRASP) until one month 
after the new Patient Classification System is implemented by the 
Employer.  At that time, paragraphs 1300-1328, and all references to"
41 GRASP in the parties’ collective bargaining agreement will be null and,void.
A – Specifications,"1301 Each Kaiser Foundation Hospital shall continue to implement, refine and 
maintain the GRASP system (workload measurement tool) in all applicable 
units. There is one model of staffing matrix utilized in all Kaiser facilities 
staffed by GRASP. This matrix shall be the traditional GRASP matrix. 
1302 Each Kaiser Foundation Hospital shall designate a Facility GRASP 
Management Co-Chair and shall notify the CNA Kaiser Division Director of 
the Management Co- Chair’s name. 
1303 The purpose of this position is: 
To assess and continue to implement GRASP in all patient care 
units of each hospital using data and recommendations obtained 
from joint audits and GRASP Committee Members, and other 
sources. 
To serve as Management's Co-Chair of the GRASP Committee. 
To serve as a consultant to Staff Nurses and other managers on 
implementation, utilization and maintenance of GRASP. 
To monitor the Hospital's GRASP program. 
To develop and implement a regular reporting mechanism to staff 
Registered Nurses, and nursing administration. 
To assist the members of the GRASP Committee in 
establishment of guidelines for the committee. 
To assist the members of the GRASP Committee in learning to 
interpret GRASP data. 
To designate the nurse managers, the units they represent, and 
ensure their active participation on the GRASP committee."
B – Establishment of Committee,"1304 Each Kaiser Foundation Hospital shall establish and continue to operate a 
GRASP Committee. This committee shall fulfill 1996 Title 22:"
,"70217 (c) (d) (e) as the staffing committee for all patient care units or 
departments using GRASP or other specialty organization/staffing criteria."
C – GRASP Committee Objective/Responsibilities,"1305 It is the responsibility of the GRASP Committee to: 
Participate in the development and implementation of the GRASP 
system in bed units. 
Participate in the assessment, continued planning, and evaluation 
of the system. 
Recommend the type and extent of GRASP training. 
Recommend guidelines to Hospital Nursing Administration on the 
implementation and operation of the GRASP system as a staffing 
tool. 
Recommend to Nursing Administration in writing: Options, 
alternatives, protocols and procedures for prioritizing nursing care 
in those instances when NCH (Nurse Care Hours) are greater or 
less than PCH (Patient Care Hours). Within thirty (30) calendar days 
Nursing Administration shall provide the GRASP committee with a 
written response to these recommendations. 
Review periodically, as determined by the GRASP committee, on a 
unit by unit basis, GRASP related statistics such as Patient Care 
Hours, Nursing Care Hours, percentage utilization, Inter Rater 
Reliability Audits (IRRAs) and staffing matrices. 
Serve as a consultant on the development of staffing matrices, 
and no matrix shall be implemented without the review of the 
Facility GRASP Committee. 
Recommend modifications to GRASP line items, definitions, and 
indirect care based on complexity of care, severity of illness, 
increased patient acuity, use of new technology and practice 
changes."
D – Membership,"1306 At least 50% of the members of the Facility GRASP Committee shall be 
direct-care staff nurses, including one staff nurse from each unit using 
GRASP or other specialty organizations/staffing criteria, the Staff Nurse 
Co-Chair, and at least two (2) members of the Inpatient Professional 
Performance Committee (PPC members may represent both the PPC and 
a clinical unit). The committee shall also include the GRASP Management 
Co-Chair, and other nursing managers. Staff Nurses shall be selected by"
43 CNA and the Staff Nurse Co-Chair shall notify management’s co-chair of,"their name(s). Nothing in this Article shall be construed to restrict current 
practices in existence at any facility prior to August 31, 2006. 
1307 The Staff Nurse Co-Chair of the Committee shall be designated by CNA."
"E – Meetings, Compensation and Minutes","1308 The Facility GRASP Committee shall meet four (4) times a year for eight (8) 
hours per meeting. Each staff nurse member of the GRASP Committee shall 
be provided release time and compensated in accordance with the 
contract for all meetings and for all GRASP related work, including but not 
limited to, doing IRRAs and staff education. When a GRASP meeting is 
cancelled after the unit work schedule is posted and work is available, the 
Nurse who was scheduled to attend the GRASP meeting shall have the 
option of accepting the assignment offered, or taking the time off without 
pay. If no work is available for the Nurse, the Nurse shall receive pay in 
an amount equivalent to that which the Nurse would have received for 
participation in the meeting. 
1309 Staff Nurse committee members shall be taken off the unit schedule 
and be replaced for their entire work shift to attend all facility GRASP 
Committee meetings. Staff Nurse Co-Chairs shall also attend all Regional 
GRASP Committee meetings. Staff Nurse committee members shall not 
be required to return to direct patient care duties unless their unit is in 
Essential Care. If a staff nurse member is required to return to work or not 
allowed to attend a meeting, the Nurse Executive shall provide a written 
report describing the staffing circumstances at the next Inpatient 
Professional Performance Committee meeting. 
The GRASP Staff Nurse Co-Chair at each facility shall be granted eight (8) 
hours per quarter of paid GRASP prep time. 
1310 At least once per quarter the Nurse Executive shall meet with the Facility 
GRASP Committee at one (1) of its regularly scheduled meetings. 
1311 Minutes of meetings shall be recorded and copies sent to committee 
membership, Nursing Administration, and CNA Kaiser Division Director 
after review and approval at subsequent meeting by Facility GRASP 
Committee."
F – Audits,"1312 The Inter Rater Reliability Audits (IRRAs) shall be completed on a 
representative sample of patient census as determined by the GRASP 
Committee. The IRRAs shall be compiled in a timely manner by"
44   management and staff nurses and will be available to the GRASP,"Committee for evaluation and follow-up. 
1313 At least one (1) annual on-site audit shall be conducted by a joint California 
Nurses Association/Kaiser team of auditors at each Kaiser Foundation 
Hospital. 
1314 The designated nursing administrator, the GRASP co-chairs and the facility 
GRASP committee members at each facility shall be provided with the 
annual on- site audit report regarding that facility. The report may include 
recommendations proposing changes in GRASP practices and standards 
at that facility. The nursing administrator and the GRASP co-chairs shall 
respond to the recommendations within 30 days after receipt of the report. 
If they disagree with the audit recommendations, such disagreement shall 
be explained in the response. The facility nurse administrator and the 
GRASP co-chairs shall meet with the audit team and the Regional 
GRASP co-chairs for the purpose of resolving this disagreement. Agreed-
upon recommendations shall be implemented within 60 days after 
agreement. A summary of the findings and subsequent action plans shall 
be sent to the Regional GRASP committee. Any remaining disputes 
concerning audit team recommendations or concerning implementation of 
agreed- upon recommendations shall be addressed by the Executive 
Director of Patient Care Services within 14 days after receipt of the report."
G – Modification to GRASP,"1315 Current staffing matrices shall be available to staff Registered Nurses at all 
times and on all units. 
1316 Nursing Administration shall notify the GRASP Committee, on a timely 
basis, of contemplated modifications to GRASP. The GRASP Committee 
shall review changes and consult with Nursing Administration. 
1317 Nursing Administration shall notify the Facility GRASP Committee and the 
PPC at least two (2) weeks in advance of contemplated modifications to 
Facility GRASP. The Facility GRASP Committee shall meet to review 
changes, consult with Nursing Administration and set up a pilot to evaluate 
the proposed changes. The Facility GRASP Committee shall determine the 
length of the annual maintenance/pilot, but said annual maintenance/pilot 
shall not exceed six (6) weeks. Annual maintenance/pilots shall include 
unit-based assessments of the proposed changes. 
1318 Recommendations of the Regional or Facility GRASP Committees 
regarding Regional Standards, practice changes and changes in the facility 
GRASP system, shall be referred directly to the Executive Director for 
Patient Care Services, and upon approval, shall be promptly and"
45  effectively communicated to all nursing managers and staff nurses and,"implemented into their Facility GRASP systems within 60 days. 
1319 The Facility GRASP Committee may request the head of any department to 
attend a regularly scheduled GRASP meeting for the purpose of obtaining 
information relevant to the Facility GRASP Committee. Such requests 
shall not be unreasonably denied and the meeting should occur within a 
reasonable amount of time. 
1320 When Nursing Administration proposes matrix changes due to budgetary 
constraints, information used by the Employer to support proposed changes 
shall be shared with the Facility GRASP Committee within a reasonable 
amount of time prior to the meeting date. 
1321 Staff Nurse Co-Chair of Facility GRASP Committee shall be responsible 
for notifying the California Nurses Association Kaiser Division Director of any 
changes or modifications to the GRASP system. 
1322  All recommendations made by the GRASP committee and approved by the 
Nurse Executive shall be promptly communicated and carried out within 30 
days."
